source	path	line	matched_categories	excerpt
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/RebecInstantiationRule.java	12	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/RebecInstantiationRule.java	19	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/RebecInstantiationRule.java	43	trace-or-step	return Transition.createDeterministicTransition(resultAction, state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/ReturnRule.java	9	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/ReturnRule.java	16	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/ReturnRule.java	27	trace-or-step	return Transition.createDeterministicTransition(resultAction, state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/SendMessageRule.java	12	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/SendMessageRule.java	17	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/SendMessageRule.java	41	trace-or-step	return Transition.createDeterministicTransition(action, state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/VariableDeclarationRule.java	11	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/VariableDeclarationRule.java	18	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/VariableDeclarationRule.java	35	trace-or-step	return Transition.createDeterministicTauTransition(state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	16	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.RuleIsDisabledException; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.beans.factory.annotation.Autowired;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	31	trace-or-step	@Override public Transition<AbstractSystemState> applyRule(AbstractSystemState base, AbstractSystemState state, Object... additional) throws RuleIsDisabledException {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	33	trace-or-step	Object... additional) throws RuleIsDisabledException { Transition<AbstractSystemState> transitions = new Transition<AbstractSystemState>();
