path	line	categories	source_line	context
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	353		"""the main actor must instantiate "" +"	"if (!className.equals(actorClass)) { throw unsupported( ""the main actor must instantiate "" + ""the sole reactive class"" ); }"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	407	annotation-access	reactiveClass.getAnnotations(),	"ReactiveClassDeclaration reactiveClass ) { requireEmpty( reactiveClass.getAnnotations(), ""reactive-class annotations"" );"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	408	annotation-access	"""reactive-class annotations"""	") { requireEmpty( reactiveClass.getAnnotations(), ""reactive-class annotations"" ); requireEmpty("
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	502	local-priority-extraction	String priority =	"""message server"" ); String priority = extractLocalPriority( messageServer );"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	503	local-priority-extraction	extractLocalPriority(	); String priority = extractLocalPriority( messageServer );
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	507	priority-reference	String priorityField =	"messageServer ); String priorityField = fieldPrefix + ""\""priority\"": "" + ("
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	509	priority-reference	"""\""priority\"": "" +"	"String priorityField = fieldPrefix + ""\""priority\"": "" + ( priority == null ? ""null"""
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	511	priority-reference	priority == null	"fieldPrefix + ""\""priority\"": "" + ( priority == null ? ""null"" : priority ) +"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	513	priority-reference	: priority	"( priority == null ? ""null"" : priority ) + "",\n"";"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	556	priority-reference	priorityField +	"messageServer ) + "",\n"" + priorityField + fieldPrefix + ""\""body\"": "" + body +"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	574	local-priority-extraction	private static String extractLocalPriority(	"""]""; } private static String extractLocalPriority( MsgsrvDeclaration messageServer ) { String priority ="
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	577	local-priority-extraction	String priority =	private static String extractLocalPriority( MsgsrvDeclaration messageServer ) { String priority = null; for (
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	581	annotation-access	Annotation annotation :	null; for ( Annotation annotation : messageServer.getAnnotations() ) { String identifier =
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	582	annotation-access	messageServer.getAnnotations()	for ( Annotation annotation : messageServer.getAnnotations() ) { String identifier = requireName(
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	586		annotation.getIdentifier(),	") { String identifier = requireName( annotation.getIdentifier(), ""message-server annotation"" );"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	587		"""message-server annotation"""	"String identifier = requireName( annotation.getIdentifier(), ""message-server annotation"" ); if ("
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	591	local-priority-extraction	!LOCAL_PRIORITY_ANNOTATION.equals(	); if ( !LOCAL_PRIORITY_ANNOTATION.equals( identifier ) ) {
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	596	unsupported-annotation-diagnostic	"""message-server annotation @"" +"	") ) { throw unsupported( ""message-server annotation @"" + identifier ); }"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	601	unsupported-annotation-diagnostic	if (priority != null) {	"); } if (priority != null) { throw unsupported( ""multiple @priority annotations on "" + messageServer.getName()"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	603	unsupported-annotation-diagnostic	"""multiple @priority annotations on "" +"	"if (priority != null) { throw unsupported( ""multiple @priority annotations on "" + messageServer.getName() ); }"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	610		annotation.getValue(),	"Expression value = requireNonNull( annotation.getValue(), ""@priority annotation without a value"" );"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	611	priority-reference	"""@priority annotation without a value"""	"Expression value = requireNonNull( annotation.getValue(), ""@priority annotation without a value"" ); if (!(value instanceof Literal literal)) {"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	616	priority-reference	"""@priority value was not normalized "" +"	"if (!(value instanceof Literal literal)) { throw unsupported( ""@priority value was not normalized "" + ""to an integer literal"" ); }"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	624	priority-reference	"""@priority value"""	"String rendered = renderIntegerLiteral( literal, ""@priority value"" ); BigInteger numeric ="
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	632	priority-reference	"""@priority value must be nonnegative"""	"if (numeric.signum() < 0) { throw unsupported( ""@priority value must be nonnegative"" ); }"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	636	priority-reference	priority =	); } priority = numeric.toString(); }
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	640	priority-reference	return priority;	numeric.toString(); } return priority; } private static String renderBody(
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	694	annotation-access	statement.getAnnotations(),	"int indent ) { requireEmpty( statement.getAnnotations(), ""statement annotations"" );"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	695	annotation-access	"""statement annotations"""	") { requireEmpty( statement.getAnnotations(), ""statement annotations"" ); if (statement instanceof BinaryExpression binary) {"
frontend/java-bridge/RebecaStoreJsonExporter.java	36		import org.springframework.context.annotation.AnnotationConfigApplicationContext;	import org.rebecalang.compiler.utils.CompilerExtension; import org.rebecalang.compiler.utils.CoreVersion; import org.rebecalang.compiler.utils.ExceptionContainer; import org.springframework.context.annotation.AnnotationConfigApplicationContext; /** * Trusted adapter from the existing Timed Rebeca parser AST to the
frontend/java-bridge/RebecaStoreJsonExporter.java	72		AnnotationConfigApplicationContext context =	} try ( AnnotationConfigApplicationContext context = new AnnotationConfigApplicationContext( CompilerConfig.class )
frontend/java-bridge/RebecaStoreJsonExporter.java	73		new AnnotationConfigApplicationContext(	try ( AnnotationConfigApplicationContext context = new AnnotationConfigApplicationContext( CompilerConfig.class ) ) {
frontend/java-bridge/RebecaStoreJsonExporter.java	266	annotation-access	constructor.getAnnotations(),	"); requireEmpty( constructor.getAnnotations(), ""constructor annotations"" );"
frontend/java-bridge/RebecaStoreJsonExporter.java	267	annotation-access	"""constructor annotations"""	"requireEmpty( constructor.getAnnotations(), ""constructor annotations"" ); MsgsrvDeclaration messageServer ="
frontend/java-bridge/RebecaStoreJsonExporter.java	282	annotation-access	messageServer.getAnnotations(),	"); requireEmpty( messageServer.getAnnotations(), ""message-server annotations"" );"
frontend/java-bridge/RebecaStoreJsonExporter.java	283	annotation-access	"""message-server annotations"""	"requireEmpty( messageServer.getAnnotations(), ""message-server annotations"" ); String messageServerName ="
frontend/java-bridge/RebecaStoreJsonExporter.java	302		"""main actor"""	"requireOne( mainDeclaration .getMainRebecDefinition(), ""main actor"" ); requireEmpty("
frontend/java-bridge/RebecaStoreJsonExporter.java	306	annotation-access	actor.getAnnotations(),	"); requireEmpty( actor.getAnnotations(), ""main-actor annotations"" );"
frontend/java-bridge/RebecaStoreJsonExporter.java	307	annotation-access	"""main-actor annotations"""	"requireEmpty( actor.getAnnotations(), ""main-actor annotations"" ); requireEmpty("
